"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.733859250E0,-8.427065670E-1,4.034511557E-1,-7.354031432E-1,1.189010082E0
2.743893250E0,-6.960833953E-1,4.615368113E-1,-4.995901984E-1,9.732105054E-1
2.753927250E0,-5.326437776E-1,4.751783654E-1,-2.609945637E-1,7.600144966E-1
2.763961250E0,-4.431367931E-1,4.499350584E-1,-3.234445810E-2,6.323432123E-1
2.773994250E0,-3.460051855E-1,4.532118380E-1,5.758221030E-2,5.730935957E-1
2.784028250E0,-2.865559593E-1,4.112057331E-1,6.366799235E-2,5.052307255E-1
2.794062250E0,-2.767576338E-1,3.815372533E-1,5.335233450E-2,4.743542296E-1
2.804096250E0,-2.370215642E-1,3.546353835E-1,9.597619772E-2,4.372149445E-1
2.814130250E0,-2.593254760E-1,3.631673482E-1,1.267039007E-1,4.638901850E-1
2.824163250E0,-3.356331021E-1,3.710298067E-1,1.236463916E-1,5.153650423E-1
2.834197250E0,-3.920514241E-1,3.300124660E-1,1.972312617E-1,5.491017369E-1
2.844231250E0,-4.046124128E-1,3.363704360E-1,3.143813968E-1,6.129371398E-1
2.854265250E0,-4.514429091E-1,3.056710920E-1,3.902010727E-1,6.704419391E-1
2.864298250E0,-4.572038783E-1,2.561171088E-1,5.359552020E-1,7.495861113E-1
2.874332250E0,-3.354424828E-1,2.512788302E-1,6.919314337E-1,8.089696031E-1
2.884366250E0,-2.472030285E-1,2.106175849E-1,6.997357124E-1,7.714267117E-1
2.894400250E0,-2.132182802E-1,1.499863440E-1,5.725347984E-1,6.290898455E-1
2.904433250E0,-1.946495698E-1,1.509371012E-1,5.448517406E-1,5.979413707E-1
2.914467250E0,-2.316254613E-1,9.143525004E-2,4.649892998E-1,5.274711444E-1
2.924501250E0,-3.187834731E-1,8.004195035E-2,2.858083928E-1,4.355640641E-1
2.934535083E0,-4.852187656E-1,1.240691453E-1,-1.040219665E-3,5.008307951E-1
2.944569083E0,-6.302313218E-1,1.967608532E-1,-3.027290654E-1,7.263272261E-1
2.954602083E0,-7.164480780E-1,2.579236060E-1,-5.161103368E-1,9.198871207E-1
2.964636083E0,-8.169633231E-1,3.322528267E-1,-5.778165883E-1,1.054368542E0
2.974670083E0,-1.026121151E0,3.331337097E-1,-4.581118047E-1,1.172078969E0
2.984704083E0,-9.447305399E-1,3.537670720E-1,-3.341923481E-1,1.062709490E0
2.994737083E0,-6.917691734E-1,3.326021978E-1,-3.544640601E-1,8.454664873E-1
3.004771083E0,-5.865818569E-1,4.386639655E-1,-2.600783050E-1,7.772676979E-1
