"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.462726792E0,-1.090337246E0,4.267787980E0,-1.656352472E-1,4.407979649E0
2.472715792E0,1.239863707E-1,1.970306438E0,-4.027271827E0,4.485130817E0
2.482705792E0,8.218211898E-1,1.049944169E0,-6.415319431E0,6.552411482E0
2.492694792E0,6.111017172E-1,-1.647786301E-1,-4.636715420E0,4.679714435E0
2.502684792E0,-1.372150383E-1,1.053936063E0,-1.317758925E0,1.692955338E0
2.512673792E0,3.824180632E-1,2.931361234E-1,4.684774563E-1,6.720442612E-1
2.522663792E0,1.217585011E0,1.367959026E0,-2.012290908E0,2.720871157E0
2.532653792E0,1.097336437E0,8.509388620E-1,-3.903514046E0,4.143146885E0
2.542642792E0,1.237796351E0,1.102609456E0,-3.341993648E0,3.730523952E0
2.552632792E0,9.920712789E-1,5.514275193E-1,-2.417680708E0,2.670853372E0
2.562621792E0,1.319649037E0,4.957409763E-1,-2.279737874E0,2.680380098E0
2.572611792E0,1.565149064E0,-5.860944915E-1,-2.729040264E0,3.200134233E0
2.582600792E0,1.809872581E0,-3.341537565E-1,-3.506659719E0,3.960297953E0
2.592590792E0,1.347956578E0,-4.332675701E-1,-3.277281050E0,3.570053054E0
2.602579792E0,5.046385382E-1,1.744902706E-1,-2.717515402E0,2.769475919E0
2.612569792E0,-5.649961294E-1,-5.539166790E-1,-2.515329794E0,2.636840588E0
2.622558792E0,-1.345417863E0,-7.426303017E-1,-2.085195454E0,2.590306753E0
2.632548792E0,-2.124000647E0,-1.090384682E0,-1.602316014E0,2.875366779E0
2.642538792E0,-2.684214047E0,-1.082628350E0,-1.335335655E0,3.187508511E0
2.652527792E0,-2.590342847E0,-9.181613767E-1,-8.010586041E-1,2.862619650E0
2.662517792E0,-1.582460916E0,-1.522653548E0,-1.694321367E-1,2.202581128E0
2.672506792E0,-2.256268027E-1,-2.440984493E0,-1.194010207E-1,2.454296102E0
2.682496792E0,4.613480924E-1,-2.479788371E0,-8.704758713E-1,2.668317947E0
2.692485792E0,3.698822907E-1,-2.403910223E0,-1.503735466E0,2.859513528E0
2.702475792E0,-1.214247420E-1,-2.785261534E0,-1.056735418E0,2.981461978E0
2.712464792E0,-8.852398715E-1,-2.449915531E0,-9.196901312E-1,2.762528855E0
2.722454792E0,-1.473013172E0,-2.011455633E0,-1.423242988E0,2.870773793E0
2.732443792E0,-2.618363581E0,-4.356220100E0,-3.343711852E0,6.083822018E0
2.742433792E0,-4.396864973E0,-6.451755770E0,-4.968834053E0,9.254560279E0
2.752423792E0,-5.248236237E0,-6.910057610E0,-5.585367980E0,1.031936118E1
2.762412792E0,-4.901924949E0,-4.148724636E0,-1.533638127E0,6.602486669E0
2.772402792E0,-3.878691446E0,2.583022133E0,3.957076003E0,6.113485190E0
2.782391792E0,-3.966736188E0,6.934901844E0,7.622512186E0,1.104221679E1
2.792381792E0,-5.019613613E0,8.439182271E0,7.612195358E0,1.242424390E1
2.802370792E0,-4.665104529E0,8.063265946E0,5.624469481E0,1.088182498E1
2.812360792E0,-2.746975428E0,6.147618111E0,2.759878479E0,7.277088130E0
2.822349792E0,8.324172217E-1,3.163966396E0,-7.883869569E-1,3.365286880E0
2.832339792E0,4.073311926E0,1.209384291E0,-2.788960483E0,5.082595891E0
2.842328792E0,4.654380736E0,6.499911100E-1,1.335258472E-1,4.701444207E0
2.852318792E0,4.026383635E0,-7.478501111E-1,4.948372307E0,6.423194957E0
2.862307792E0,3.276772050E0,-1.302912260E0,7.477242790E0,8.267041501E0
2.872297792E0,2.699675839E0,-8.465160280E-1,8.929209348E0,9.366729344E0
2.882287792E0,2.181021232E0,2.289793038E-1,8.637995789E0,8.912028747E0
2.892276792E0,1.629518430E0,9.140636480E-1,5.494817998E0,5.803780449E0
2.902266792E0,1.237101555E0,8.723811865E-1,1.099253227E0,1.870782416E0
2.912255792E0,6.629155031E-1,6.139792782E-1,-2.849096757E0,2.988942932E0
2.922245792E0,-7.536160505E-1,-1.976244870E0,-4.691640948E0,5.146355577E0
