"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.199405625E0,9.443750877E0,-4.446929126E1,8.702619216E0,4.628647618E1
2.209393625E0,2.202368978E0,-3.048727248E1,1.020543550E1,3.222538016E1
2.219381625E0,-7.581694235E-1,-2.212333335E1,2.763261386E0,2.230812213E1
2.229369625E0,3.287193543E0,-2.171931882E1,8.259199710E0,2.346803850E1
2.239357625E0,8.415328555E0,-1.966960076E1,1.018545439E1,2.369502965E1
2.249345625E0,9.954950137E0,-1.606012506E1,3.950379480E0,1.930373403E1
2.259333625E0,9.928714850E0,-1.460591201E1,-9.665780765E-1,1.768746215E1
2.269321625E0,8.782601525E0,-1.493895772E1,-2.509791311E0,1.751015704E1
2.279309625E0,6.889017574E0,-1.536580212E1,-3.070292832E0,1.711704227E1
2.289297625E0,4.190528719E0,-1.649993742E1,-2.391050003E0,1.719085763E1
2.299285625E0,2.638190612E-1,-1.556365786E1,4.761545581E-1,1.557317468E1
2.309273625E0,-2.555458943E0,-1.141514256E1,3.209674666E0,1.213003963E1
2.319261625E0,-2.613105180E0,-6.463082997E0,1.711539078E0,7.178379101E0
2.329249625E0,-1.820043520E0,-1.960585442E0,4.786062956E-1,2.717630894E0
2.339237625E0,-3.057357914E0,2.283051199E0,-1.141174182E0,3.982717502E0
2.349225625E0,-3.826898856E0,5.711774257E0,-5.448839003E-1,6.896841197E0
2.359213625E0,-3.930658283E0,6.077176119E0,3.560028133E0,8.065726528E0
2.369201625E0,-4.668821312E0,5.948342078E0,3.859593270E0,8.489824859E0
2.379189625E0,-3.071577758E0,7.290140076E0,4.739455969E0,9.221885660E0
2.389177625E0,3.173696163E-1,8.469370860E0,7.245742752E0,1.115041498E1
2.399165625E0,1.104801577E0,7.218157927E0,9.043069255E0,1.162323070E1
2.409153625E0,-3.166884157E0,5.358909411E0,5.568142667E0,8.351723062E0
2.419141625E0,-6.560508719E0,6.565662455E0,-9.126971537E-1,9.326371975E0
2.429129625E0,-6.762702513E0,9.412019792E0,-4.241113567E0,1.234128462E1
2.439118625E0,-5.596232107E0,1.164964046E1,-5.264989094E0,1.395535907E1
2.449106625E0,-4.335708944E0,1.242437432E1,-6.146665599E0,1.452394393E1
2.459094625E0,-3.243472742E0,1.191480819E1,-6.445202211E0,1.392922830E1
2.469082625E0,-2.285092169E0,1.088117015E1,-6.578211164E0,1.291876047E1
2.479070625E0,-3.065907421E0,9.741558926E0,-5.461055006E0,1.158105696E1
2.489058625E0,-4.003166973E0,8.732896684E0,-4.161201425E0,1.046921332E1
2.499046625E0,-3.915037154E0,8.374840679E0,-3.511108573E0,9.889052317E0
2.509034625E0,-3.149960853E0,8.854079059E0,-2.359124059E0,9.689294901E0
2.519022625E0,-1.951298017E0,9.883757948E0,-1.272829066E0,1.015462106E1
2.529011292E0,-8.980796993E-1,1.083128872E1,-8.154275519E-1,1.089900383E1
2.538999292E0,-4.616976097E-1,1.115894680E1,-6.419728231E-1,1.118692932E1
2.548987292E0,-3.632714286E-1,1.089785225E1,-7.520998675E-1,1.092981263E1
2.558975292E0,-4.952631126E-1,1.037722436E1,-1.002771318E0,1.043731868E1
2.568963292E0,-8.528786758E-1,9.651417664E0,-9.038737053E-1,9.731097196E0
2.578951292E0,-1.461382621E0,9.036637902E0,-7.993722671E-1,9.188876959E0
2.588939292E0,-1.935759187E0,8.746245292E0,-7.211265814E-1,8.986878985E0
2.598927292E0,-1.802645569E0,8.665878822E0,-4.539575042E-1,8.863016654E0
2.608915292E0,-1.414270581E0,8.808850846E0,-1.679636085E-1,8.923240794E0
2.618903292E0,-1.116449230E0,9.075719522E0,-1.410946293E-1,9.145220141E0
2.628891292E0,-8.122576301E-1,9.411007054E0,-5.120795587E-1,9.459864782E0
2.638879292E0,-5.408003511E-1,9.765276986E0,-1.241886624E0,9.858771832E0
2.648867292E0,-4.368912359E-1,9.980598364E0,-2.078218118E0,1.020402902E1
2.658855292E0,-5.312644194E-1,1.005306525E1,-3.004078377E0,1.050575317E1
2.668843292E0,-7.984577626E-1,1.002242701E1,-3.680646837E0,1.070671467E1
2.678831292E0,-1.056792428E0,9.933628850E0,-3.893687215E0,1.072168795E1
2.688819292E0,-1.218910136E0,9.739402472E0,-3.443786363E0,1.040198861E1
2.698807292E0,-1.442686588E0,9.457680699E0,-2.326812492E0,9.845969996E0
2.708795292E0,-1.790886818E0,8.701274357E0,-1.777550342E0,9.059753653E0
2.718783292E0,-2.470886570E0,7.882526756E0,-2.361327436E0,8.591587499E0
2.728771292E0,-3.622180527E0,5.429218086E0,2.013061863E0,6.830008702E0
2.738759292E0,-3.313212191E0,-5.839836466E-1,4.117204635E0,5.316933884E0
2.748747292E0,2.163497566E-1,-5.725814592E0,-2.002333392E0,6.069686892E0
2.758735292E0,3.356815170E0,-8.511507651E0,3.348899209E-1,9.155660644E0
